Name,Generation,Max value
eil51_n150_bounded-strongly-corr_01.ttp,735,10990.19992075921
eil51_n150_bounded-strongly-corr_02.ttp,1377,20657.922123848373
eil51_n150_bounded-strongly-corr_03.ttp,765,21525.03015635657
eil51_n150_bounded-strongly-corr_04.ttp,884,30290.94717870104
eil51_n150_bounded-strongly-corr_05.ttp,1380,29565.238892490135
eil51_n150_bounded-strongly-corr_06.ttp,608,25815.60574672545
eil51_n150_bounded-strongly-corr_07.ttp,1664,11036.700411743004
eil51_n150_bounded-strongly-corr_08.ttp,1784,6171.619253601311
eil51_n150_bounded-strongly-corr_09.ttp,1642,28225.446416154802
eil51_n150_bounded-strongly-corr_10.ttp,1395,-18260.049173204476
eil51_n150_uncorr-similar-weights_01.ttp,717,6577.516205878492
eil51_n150_uncorr-similar-weights_02.ttp,929,9630.231724984098
eil51_n150_uncorr-similar-weights_03.ttp,1139,13803.848403812182
eil51_n150_uncorr-similar-weights_04.ttp,900,4667.978248169758
eil51_n150_uncorr-similar-weights_05.ttp,607,3307.922657847117
eil51_n150_uncorr-similar-weights_06.ttp,1019,5142.606572609562
eil51_n150_uncorr-similar-weights_07.ttp,1241,11297.554253319664
eil51_n150_uncorr-similar-weights_08.ttp,1558,7782.845839015572
eil51_n150_uncorr-similar-weights_09.ttp,1176,7324.789061781325
eil51_n150_uncorr-similar-weights_10.ttp,929,4555.557078002559
eil51_n150_uncorr_01.ttp,1001,6159.713986357372
eil51_n150_uncorr_02.ttp,2608,9394.46896213122
eil51_n150_uncorr_03.ttp,1207,10099.529458307683
eil51_n150_uncorr_04.ttp,1766,2945.0027219713156
eil51_n150_uncorr_05.ttp,1740,9531.022112307382
eil51_n150_uncorr_06.ttp,1767,10816.54728686772
eil51_n150_uncorr_07.ttp,2026,3793.2037907833146
eil51_n150_uncorr_08.ttp,2126,7616.254450779241
eil51_n150_uncorr_09.ttp,1062,4702.200401643167
eil51_n150_uncorr_10.ttp,3804,10050.48845838297
eil51_n250_bounded-strongly-corr_01.ttp,788,18940.536569651096
eil51_n250_bounded-strongly-corr_02.ttp,1318,27282.1080151267
eil51_n250_bounded-strongly-corr_03.ttp,1102,46679.97247623355
eil51_n250_bounded-strongly-corr_04.ttp,1633,44125.71347980336
eil51_n250_bounded-strongly-corr_05.ttp,1292,43954.36643443267
eil51_n250_bounded-strongly-corr_06.ttp,862,43199.13524390974
eil51_n250_bounded-strongly-corr_07.ttp,1729,51308.826514544184
eil51_n250_bounded-strongly-corr_08.ttp,1038,44115.26708586542
eil51_n250_bounded-strongly-corr_09.ttp,2225,38486.45460872934
eil51_n250_bounded-strongly-corr_10.ttp,1512,32008.538700413745
eil51_n250_uncorr-similar-weights_01.ttp,829,10588.226298230364
eil51_n250_uncorr-similar-weights_02.ttp,527,10617.443131660613
eil51_n250_uncorr-similar-weights_03.ttp,883,15981.7447686329
eil51_n250_uncorr-similar-weights_04.ttp,948,12688.031594703436
eil51_n250_uncorr-similar-weights_05.ttp,1265,12813.07729584142
eil51_n250_uncorr-similar-weights_06.ttp,1706,8635.998227910204
eil51_n250_uncorr-similar-weights_07.ttp,2533,10792.5264076569
eil51_n250_uncorr-similar-weights_08.ttp,1269,13893.505132176746
eil51_n250_uncorr-similar-weights_09.ttp,1159,2084.0429179787025
eil51_n250_uncorr-similar-weights_10.ttp,1441,14079.988392145591
eil51_n250_uncorr_01.ttp,962,4802.099530123121
eil51_n250_uncorr_02.ttp,1087,10230.992324881037
eil51_n250_uncorr_03.ttp,891,7189.038680332782
eil51_n250_uncorr_04.ttp,1314,16876.607172457858
eil51_n250_uncorr_05.ttp,835,8773.458072199865
eil51_n250_uncorr_06.ttp,1121,9802.840379409674
eil51_n250_uncorr_07.ttp,1820,4027.110857016829
eil51_n250_uncorr_08.ttp,2169,1264.2710616877448
eil51_n250_uncorr_09.ttp,1444,17965.83493998544
eil51_n250_uncorr_10.ttp,1758,13717.001511646275
eil51_n500_bounded-strongly-corr_01.ttp,1061,35189.722025529394
eil51_n500_bounded-strongly-corr_02.ttp,1726,51441.949905977955
eil51_n500_bounded-strongly-corr_03.ttp,1688,73226.89027072758
eil51_n500_bounded-strongly-corr_04.ttp,1725,96838.90506587055
eil51_n500_bounded-strongly-corr_05.ttp,1735,82637.9743986916
eil51_n500_bounded-strongly-corr_06.ttp,2358,106077.97135105412
eil51_n500_bounded-strongly-corr_07.ttp,3531,95449.78061493314
eil51_n500_bounded-strongly-corr_08.ttp,3194,75948.14035107195
eil51_n500_bounded-strongly-corr_09.ttp,2689,92003.76844339681
eil51_n500_bounded-strongly-corr_10.ttp,3359,81655.25718865817
eil51_n500_uncorr-similar-weights_01.ttp,1601,17738.13941576899
eil51_n500_uncorr-similar-weights_02.ttp,1162,29613.921613661456
eil51_n500_uncorr-similar-weights_03.ttp,1773,31171.99412495909
eil51_n500_uncorr-similar-weights_04.ttp,1255,30396.857664725063
eil51_n500_uncorr-similar-weights_05.ttp,2578,23593.613548590016
eil51_n500_uncorr-similar-weights_06.ttp,3233,23355.44602298949
eil51_n500_uncorr-similar-weights_07.ttp,2364,26810.053939575417
eil51_n500_uncorr-similar-weights_08.ttp,3000,25517.123838595202
eil51_n500_uncorr-similar-weights_09.ttp,3717,23479.577022439888
eil51_n500_uncorr-similar-weights_10.ttp,2574,35453.84187441663
eil51_n500_uncorr_01.ttp,1113,12031.675266165408
eil51_n500_uncorr_02.ttp,1058,17162.212560508196
eil51_n500_uncorr_03.ttp,1330,28686.255026581457
eil51_n500_uncorr_04.ttp,1988,31444.866123351436
eil51_n500_uncorr_05.ttp,1035,23828.420064061604
