Name,Generations,Max value
eil51_n150_bounded-strongly-corr_01.ttp,2024,8841.92131005723
eil51_n150_bounded-strongly-corr_02.ttp,1334,17771.30704184842
eil51_n150_bounded-strongly-corr_03.ttp,980,20705.584535157563
eil51_n150_bounded-strongly-corr_04.ttp,1113,23000.804347292287
eil51_n150_bounded-strongly-corr_05.ttp,2454,21877.10668441587
eil51_n150_bounded-strongly-corr_06.ttp,2415,25956.239588300377
eil51_n150_bounded-strongly-corr_07.ttp,2260,21677.676727235215
eil51_n150_bounded-strongly-corr_08.ttp,1867,20515.050533676345
eil51_n150_bounded-strongly-corr_09.ttp,1614,-47.242816879894235
eil51_n150_bounded-strongly-corr_10.ttp,2213,-1802.8315600655478
eil51_n150_uncorr-similar-weights_01.ttp,1002,5076.217945789971
eil51_n150_uncorr-similar-weights_02.ttp,1135,8646.411312580829
eil51_n150_uncorr-similar-weights_03.ttp,2857,15179.565647093388
eil51_n150_uncorr-similar-weights_04.ttp,1385,6698.687897457177
eil51_n150_uncorr-similar-weights_05.ttp,1439,3492.384904461396
eil51_n150_uncorr-similar-weights_06.ttp,1145,9342.752568554399
eil51_n150_uncorr-similar-weights_07.ttp,1263,7751.170698697068
eil51_n150_uncorr-similar-weights_08.ttp,2488,-1761.489074743382
eil51_n150_uncorr-similar-weights_09.ttp,1184,7560.739347563482
eil51_n150_uncorr-similar-weights_10.ttp,2237,4343.950861336729
eil51_n150_uncorr_01.ttp,864,2194.3777407220477
eil51_n150_uncorr_02.ttp,965,5211.041889183105
eil51_n150_uncorr_03.ttp,1475,8657.423730468905
eil51_n150_uncorr_04.ttp,1959,-730.9950904602665
eil51_n150_uncorr_05.ttp,1013,6966.300854317131
eil51_n150_uncorr_06.ttp,1496,7287.737117758075
eil51_n150_uncorr_07.ttp,1107,8086.37482490858
eil51_n150_uncorr_08.ttp,1372,6647.0852604812535
eil51_n150_uncorr_09.ttp,1014,1908.51847698645
eil51_n150_uncorr_10.ttp,2579,6144.390631196329
eil51_n250_bounded-strongly-corr_01.ttp,924,17474.339946094697
eil51_n250_bounded-strongly-corr_02.ttp,983,28928.315689236628
eil51_n250_bounded-strongly-corr_03.ttp,943,46324.12321701848
eil51_n250_bounded-strongly-corr_04.ttp,1984,38303.74895446164
eil51_n250_bounded-strongly-corr_05.ttp,1137,55170.688264267425
eil51_n250_bounded-strongly-corr_06.ttp,2642,41100.30492542389
eil51_n250_bounded-strongly-corr_07.ttp,1853,28717.695055197095
eil51_n250_bounded-strongly-corr_08.ttp,1428,25106.894981393518
eil51_n250_bounded-strongly-corr_09.ttp,1820,22037.36567108534
eil51_n250_bounded-strongly-corr_10.ttp,2056,-6473.583380320342
eil51_n250_uncorr-similar-weights_01.ttp,1136,8279.144343092847
eil51_n250_uncorr-similar-weights_02.ttp,1023,17840.644876535163
eil51_n250_uncorr-similar-weights_03.ttp,1236,15000.554896690774
eil51_n250_uncorr-similar-weights_04.ttp,1357,15193.279517551186
eil51_n250_uncorr-similar-weights_05.ttp,1048,14794.733178305894
eil51_n250_uncorr-similar-weights_06.ttp,1606,6118.335353070826
eil51_n250_uncorr-similar-weights_07.ttp,2303,12966.255481140004
eil51_n250_uncorr-similar-weights_08.ttp,1103,7015.17007940714
eil51_n250_uncorr-similar-weights_09.ttp,2156,6991.3803746591
eil51_n250_uncorr-similar-weights_10.ttp,2409,-5012.437276737139
eil51_n250_uncorr_01.ttp,872,4858.882768669607
eil51_n250_uncorr_02.ttp,1373,9823.642109545483
eil51_n250_uncorr_03.ttp,1206,5513.403299755726
eil51_n250_uncorr_04.ttp,1998,8191.063128274633
eil51_n250_uncorr_05.ttp,1223,6920.982030380204
eil51_n250_uncorr_06.ttp,2304,12970.552938717563
eil51_n250_uncorr_07.ttp,1768,-4402.067271106629
eil51_n250_uncorr_08.ttp,1664,-3244.9060821242456
eil51_n250_uncorr_09.ttp,1482,14762.76048659689
eil51_n250_uncorr_10.ttp,2199,20254.430302354333
eil51_n500_bounded-strongly-corr_01.ttp,2285,-175668.30417805407
eil51_n500_bounded-strongly-corr_02.ttp,1427,68315.92390609173
eil51_n500_bounded-strongly-corr_03.ttp,1996,75848.2916988818
eil51_n500_bounded-strongly-corr_04.ttp,1680,103603.04876775383
eil51_n500_bounded-strongly-corr_05.ttp,2167,104068.83738272726
eil51_n500_bounded-strongly-corr_06.ttp,2232,87531.99415474944
eil51_n500_bounded-strongly-corr_07.ttp,4549,-22707.20853475714
eil51_n500_bounded-strongly-corr_08.ttp,3818,-20596.103781050537
eil51_n500_bounded-strongly-corr_09.ttp,4115,12280.997825060855
eil51_n500_bounded-strongly-corr_10.ttp,3059,76613.0279105446
eil51_n500_uncorr-similar-weights_01.ttp,1831,14984.625369843247
eil51_n500_uncorr-similar-weights_02.ttp,1362,22885.358785793225
eil51_n500_uncorr-similar-weights_03.ttp,1720,29096.004346322537
eil51_n500_uncorr-similar-weights_04.ttp,795,6514.136193399587
eil51_n500_uncorr-similar-weights_05.ttp,2081,30236.384911406596
eil51_n500_uncorr-similar-weights_06.ttp,3126,30676.162116473264
eil51_n500_uncorr-similar-weights_07.ttp,2121,21776.58309915798
eil51_n500_uncorr-similar-weights_08.ttp,2811,10136.429686966585
eil51_n500_uncorr-similar-weights_09.ttp,2601,34380.22591873018
eil51_n500_uncorr-similar-weights_10.ttp,2475,25765.407951152694
eil51_n500_uncorr_01.ttp,1440,13504.014000634226
eil51_n500_uncorr_02.ttp,1481,25219.407059456727
eil51_n500_uncorr_03.ttp,1455,24484.79056272826
eil51_n500_uncorr_04.ttp,889,545.5733817656328
eil51_n500_uncorr_05.ttp,2118,26232.55453950104
eil51_n500_uncorr_06.ttp,2681,22419.056013168607
eil51_n500_uncorr_07.ttp,3035,24991.670640604585
eil51_n500_uncorr_08.ttp,3259,16214.742368357853
eil51_n500_uncorr_09.ttp,3217,33743.735208698345
eil51_n500_uncorr_10.ttp,3886,20618.085652170266
eil51_n50_bounded-strongly-corr_01.ttp,1083,3830.003896711678
eil51_n50_bounded-strongly-corr_02.ttp,1116,576.8419625900024
eil51_n50_bounded-strongly-corr_03.ttp,1953,5993.757434225869
eil51_n50_bounded-strongly-corr_04.ttp,2506,7380.63239036135
eil51_n50_bounded-strongly-corr_05.ttp,917,3845.779929709586
eil51_n50_bounded-strongly-corr_06.ttp,1881,5378.845505089474
eil51_n50_bounded-strongly-corr_07.ttp,1379,9747.501192008589
eil51_n50_bounded-strongly-corr_08.ttp,1688,527.9943259415886
eil51_n50_bounded-strongly-corr_09.ttp,1450,-7429.73242155349
eil51_n50_bounded-strongly-corr_10.ttp,1483,6499.848386050271
eil51_n50_uncorr-similar-weights_01.ttp,1033,2155.760800446553
eil51_n50_uncorr-similar-weights_02.ttp,1636,2048.435840221223
eil51_n50_uncorr-similar-weights_03.ttp,805,5466.0858391486545
eil51_n50_uncorr-similar-weights_04.ttp,1933,3528.9489863075805
eil51_n50_uncorr-similar-weights_05.ttp,1425,395.36097632133897
eil51_n50_uncorr-similar-weights_06.ttp,1285,1782.7120466371944
eil51_n50_uncorr-similar-weights_07.ttp,1925,2038.335229516273
eil51_n50_uncorr-similar-weights_08.ttp,1273,995.7542953542797
eil51_n50_uncorr-similar-weights_09.ttp,844,-2958.815380960539
